,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Age_Group_0_29,sex_ratio,literacy_rate
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,2399901,275970,1536378,100.0,54.0
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,3599372,443456,2189396,98.0,57.0
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,3737588,397870,2148179,100.0,64.0
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,4983330,77777,2724328,101.0,64.0
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,4217597,559770,2583462,100.0,61.0
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,2046051,1713405,2249130,95.0,73.0
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,3491139,244723,1940234,101.0,58.0
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,2595321,158887,1530602,101.0,58.0
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,4023678,307043,2340943,99.0,67.0
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,3328380,670737,2368684,99.0,52.0
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,3673456,334172,2360874,98.0,48.0
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,2637313,342449,1735769,99.0,54.0
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,3249231,188646,1932349,98.0,57.0
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,2123426,391596,1399773,104.0,54.0
14,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,3150195,220654,1832695,98.0,56.0
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,2666950,9025,1423119,101.0,55.0
